system:index,name,.geo
0,Region_1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.5912321333109904,51.8860455627338],[5.592364025515275,51.8860455627338],[5.592364025515275,51.886601818449186],[5.5912321333109904,51.886601818449186],[5.5912321333109904,51.8860455627338]]]}"
1,Region_2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.602041103273714,51.89024625297418],[5.60276261749872,51.89024625297418],[5.60276261749872,51.890698169027644],[5.602041103273714,51.890698169027644],[5.602041103273714,51.89024625297418]]]}"
2,Region_3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.614213046008842,51.88619731061336],[5.615369078094261,51.88619731061336],[5.615369078094261,51.886977057357704],[5.614213046008842,51.886977057357704],[5.614213046008842,51.88619731061336]]]}"
3,Region_4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.608169038429303,51.88683117723591],[5.608836908474011,51.88683117723591],[5.608836908474011,51.887183798262335],[5.608169038429303,51.887183798262335],[5.608169038429303,51.88683117723591]]]}"
4,Region_5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.582489220116296,51.88672603045863],[5.584007350418725,51.88672603045863],[5.584007350418725,51.8875670207276],[5.582489220116296,51.8875670207276],[5.582489220116296,51.88672603045863]]]}"
5,Region_6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.581343702652211,51.886691644764085],[5.582438043930287,51.886691644764085],[5.582438043930287,51.887274380298756],[5.581343702652211,51.887274380298756],[5.581343702652211,51.886691644764085]]]}"
6,Region_7,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.580805250904821,51.88589513846054],[5.582001516125463,51.88589513846054],[5.582001516125463,51.88650437259047],[5.580805250904821,51.88650437259047],[5.580805250904821,51.88589513846054]]]}"
7,Region_8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.477447271524887,51.82270215758862],[5.48186755198143,51.82270215758862],[5.48186755198143,51.825016478046265],[5.477447271524887,51.825016478046265],[5.477447271524887,51.82270215758862]]]}"
8,Region_9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.46935029120842,51.93508828103793],[4.470468772367631,51.93508828103793],[4.470468772367631,51.93569519446929],[4.46935029120842,51.93569519446929],[4.46935029120842,51.93508828103793]]]}"
9,Region_10,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.333278181629261,52.08632421584418],[4.333994331436237,52.08632421584418],[4.333994331436237,52.08673789868159],[4.333278181629261,52.08673789868159],[4.333278181629261,52.08632421584418]]]}"
10,Region_11,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.280907819450115,52.089150102269805],[4.282074580371593,52.089150102269805],[4.282074580371593,52.089830738450935],[4.280907819450115,52.089830738450935],[4.280907819450115,52.089150102269805]]]}"
11,Region_12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.279259962932795,52.103879919957635],[4.280365033046931,52.103879919957635],[4.280365033046931,52.104448303136934],[4.279259962932795,52.104448303136934],[4.279259962932795,52.103879919957635]]]}"
12,Region_13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.281649268447274,52.10805350246843],[4.282625592528695,52.10805350246843],[4.282625592528695,52.10860865387007],[4.281649268447274,52.10860865387007],[4.281649268447274,52.10805350246843]]]}"
13,Region_14,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.206241224130767,52.01886260316538],[4.207791540941375,52.01886260316538],[4.207791540941375,52.01953110609],[4.206241224130767,52.01953110609],[4.206241224130767,52.01886260316538]]]}"
14,Region_15,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.874642398370015,52.020644941859004],[4.8756482267506,52.020644941859004],[4.8756482267506,52.02117147093185],[4.874642398370015,52.02117147093185],[4.874642398370015,52.020644941859004]]]}"
15,Region_16,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.901117825615957,52.375716863156164],[4.9027807952051905,52.375716863156164],[4.9027807952051905,52.37653884906485],[4.901117825615957,52.37653884906485],[4.901117825615957,52.375716863156164]]]}"
16,Region_17,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.840207446447753,52.36835992349217],[4.84127496563568,52.36835992349217],[4.84127496563568,52.36892165449569],[4.840207446447753,52.36892165449569],[4.840207446447753,52.36835992349217]]]}"
17,Region_18,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[4.850371335852346,52.3740326731956],[4.851838504183492,52.3740326731956],[4.851838504183492,52.37470731796551],[4.850371335852346,52.37470731796551],[4.850371335852346,52.3740326731956]]]}"
18,Region_19,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.8319242235023205,52.451440823694874],[5.833141946395082,52.451440823694874],[5.833141946395082,52.45200640144547],[5.8319242235023205,52.45200640144547],[5.8319242235023205,52.451440823694874]]]}"
19,Region_20,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[5.0825007990121795,52.118394199815555],[5.083970649552341,52.118394199815555],[5.083970649552341,52.11909085918736],[5.0825007990121795,52.11909085918736],[5.0825007990121795,52.118394199815555]]]}"
