Epoch,Train Loss,mAP
1,4.938,0.0020383174996823072
2,4.075,0.022861845791339874
3,3.83,0.08308479189872742
4,3.696,0.14638210833072662
5,3.61,0.18756431341171265
6,3.531,0.20833797752857208
7,3.463,0.2192489504814148
8,3.412,0.22915536165237427
9,3.359,0.23228442668914795
10,3.322,0.24335764348506927
11,3.264,0.24488072097301483
12,3.22,0.24967779219150543
13,3.179,0.25477665662765503
14,3.136,0.2594020962715149
15,3.104,0.2659323215484619
16,3.063,0.262830913066864
17,3.073,0.26334813237190247
18,3.057,0.26300138235092163
19,3.058,0.2632383406162262
20,3.058,0.2628127336502075
21,3.049,0.2647073566913605
22,3.041,0.2639809250831604
23,3.036,0.2655472755432129
24,3.03,0.2646346390247345
25,3.04,0.2666299641132355
26,3.034,0.2656112015247345
27,3.017,0.2669174373149872
28,3.03,0.26502883434295654
29,3.026,0.2670244872570038
30,3.014,0.26789408922195435
31,3.018,0.2672414183616638
32,3.014,0.26779478788375854
33,3.012,0.2676714062690735
34,3.017,0.26808544993400574
35,3.005,0.2677479684352875
36,3.008,0.2680380940437317
37,3.015,0.26814815402030945
38,3.009,0.2681480348110199
39,3.008,0.2679618000984192
40,3.003,0.2680222690105438
41,3.009,0.2683304250240326
42,2.999,0.2683519721031189
43,3.02,0.2682887315750122
44,3.014,0.2683258354663849
45,3.011,0.2684342861175537
46,3.007,0.2684059739112854
47,3.009,0.2683124840259552
48,3.006,0.2683514654636383
49,3.005,0.26834672689437866
50,3.008,0.2683456838130951
51,3.013,0.26834726333618164
52,3.011,0.2683553993701935
53,3.004,0.26837506890296936
54,3.007,0.26835018396377563
55,3.013,0.26836878061294556
56,3.012,0.2683883309364319
57,3.007,0.268428236246109
58,3.007,0.2684257924556732
59,3.003,0.2681969106197357
60,3.002,0.2683669328689575
61,3.014,0.2683667540550232
62,3.014,0.2683667540550232
63,3.012,0.2683671712875366
64,3.01,0.2683606445789337
65,3.007,0.26836055517196655
66,3.009,0.2683664560317993
67,3.006,0.26836705207824707
68,3.004,0.2683640420436859
69,3.011,0.26836854219436646
70,3.001,0.2683689296245575
71,3.012,0.2683689296245575
72,3.01,0.2683689296245575
73,3.007,0.26836901903152466
74,3.015,0.2683681845664978
75,3.009,0.2683696448802948
76,3.004,0.2683696448802948
77,3.013,0.2683696448802948
78,3.007,0.2683698832988739
79,3.004,0.2683696448802948
80,3.01,0.2683698832988739
81,3.012,0.2683698832988739
82,3.007,0.2683698832988739
83,3.009,0.2683698832988739
84,3.009,0.2683698832988739
85,3.007,0.2683698832988739
86,3.017,0.2683698832988739
87,3.01,0.2683698832988739
88,3.004,0.2683698832988739
89,3.013,0.2683698832988739
90,3.007,0.2683698832988739
91,3.014,0.2683698832988739
92,3.009,0.2683698832988739
93,3.006,0.2683698832988739
94,3.007,0.2683698832988739
95,3.008,0.2683698832988739
96,3.01,0.26836860179901123
97,3.008,0.2683698832988739
98,3.007,0.2683698832988739
99,3.006,0.2683698832988739
100,3.008,0.2683698832988739
